"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",32.7664039495156,6.66858680902535,4.91354538643316,9.18933525131528e-07,11.9807737608735,3.84130779392041,3.11893094842213,0.00182395370503225,-8.8714796770112,5.93675616744328,-1.49433115101842,0.135143318512215,5.68633379071374,5.95350853510793,0.955123144139518,0.339555108719887,-11.0302990837863,5.89325110512757,-1.87168319948035,0.061300583042626,-1.1337354223761,4.67225453638032,-0.242652752230924,0.808282965325308,-10.2602150131716,7.4175691977624,-1.38323145219417,0.166646984662705,16.4998906813595,6.30939934176772,2.61512860220014,0.00894240319473396,-9.45066933688332,4.38088446812302,-2.15725144218022,0.0310268975206741,1.39096795192798,4.07546649764005,0.341302757054546,0.732887997787429,-14.3496345372862,7.4614719790526,-1.92316403218715,0.0545082031859425,-4.1751626577115,4.50319593775618,-0.92715545035597,0.353884288737558,-3.47315814628054,4.39262539203964,-0.79067934009912,0.429163363260181,-7.68785412677412,4.9149901988662,-1.5641646912231,0.117833283773325,1.48703856866249,5.67003517036407,0.2622626710386,0.793128224288048,-2.6298293416738,5.08715461316422,-0.516954868025535,0.605207315077918,0.86232314518641,6.30348534401967,0.13680100739895,0.89119282076015,4.72560545650876,5.91798791374381,0.798515563969658,0.424603958323112,5.26919597850519,6.60676298421959,0.797545786202834,0.425166670812174,-6.88069901905855,4.63246739529972,-1.48532054991687,0.137513110021143
"year",-0.0161997335819221,0.00330237409644026,-4.90548105963658,9.57345028563284e-07,-0.00591674302537342,0.00190220811450232,-3.11046040665295,0.00187699567146473,0.0044113712874774,0.00294034355761819,1.50029110579541,0.133593274399371,-0.00277498484401117,0.00294863961586169,-0.941106817219582,0.346689194950835,0.00548807610134378,0.00291916229749894,1.88001746461504,0.0601556220114818,0.00057946707920684,0.0023139602942363,0.250422222304418,0.802269688408392,0.00512370377170995,0.00367348401298059,1.39478047368789,0.163135296398594,-0.00814879079875474,0.00312456151287918,-2.60797899646594,0.00913112902712555,0.00469465127986121,0.00217002662608084,2.16340722433437,0.0305504575831921,-0.000672473974967147,0.00201832584775525,-0.333184047419826,0.739007365021614,0.00716263217625281,0.00369560824628203,1.93814703803055,0.0526536034136517,0.00208405486881884,0.00223023822609236,0.93445392713511,0.350108572251306,0.00173835556912646,0.00217552521657548,0.799050985886906,0.4242934669739,0.00382117768610989,0.00243430158191727,1.56972238546561,0.116534091360015,-0.000716920622657049,0.00280818442934319,-0.25529684416943,0.798502861437686,0.00131281674606267,0.00251948102367423,0.521066336172739,0.602340392142106,-0.000387199758686948,0.00312164378214541,-0.124037137389468,0.901290155593575,-0.00231665665809197,0.00293105366993816,-0.79038356815242,0.429336009987685,-0.00257665371458148,0.00327218677605404,-0.787440904485498,0.43105588672176,0.00342972927448748,0.00229435711514129,1.49485415842785,0.135006742661238
"US",-41.703005590483,7.48057509462483,-5.57483950939129,2.58899563478397e-08,-7.48053861068885,4.30934288633991,-1.73588846559443,0.0826364995491082,-7.60368929319349,6.91249419767919,-1.0999921411502,0.271381057497953,-1.24607840286209,6.4015089158098,-0.194653857278032,0.845670733857959,16.5021049914897,6.56801928788771,2.51249338166861,0.0120149704784072,5.47532310255068,5.10709250922769,1.07210180599973,0.283718776142474,22.3218273254973,8.44950492878832,2.64179114795763,0.00826895517905797,-28.0756783564679,7.18388462615414,-3.90814716793386,9.40626219274653e-05,14.805879345367,5.40387795467866,2.73986190464353,0.00616524246676466,-1.91703241526049,4.49102729220222,-0.42685833118606,0.669498311671656,22.1015846657795,8.3214956614696,2.65596301012507,0.00792979722306842,7.7013261239411,5.17246626816772,1.48890794539086,0.136565812003824,2.3509499006074,5.06889989142948,0.463798842147661,0.642809224186676,27.6569167937203,5.36956354253302,5.15068246695401,2.68085300334426e-07,-9.3109585232343,6.52144140270701,-1.42774548574022,0.153418800796954,7.79877529046715,5.93584833399943,1.31384342248053,0.188950703916017,0.503548123269438,7.2231559531678,0.0697130349301957,0.944424462509544,-31.4750427074148,6.54356913179048,-4.81007261839724,1.54678543483698e-06,-3.8879074494869,7.51124249673237,-0.517611760128668,0.604748854407118,5.75029286982936,5.31040684757205,1.08283471208207,0.278926669911075
"JP",-26.3494934011022,8.77113182155941,-3.00411553915257,0.00267488370928528,-13.3486380840847,4.90496789559032,-2.72145269209315,0.00651891278900164,11.9230462919583,7.78872396219202,1.53080868571477,0.125871050086412,3.18573738084815,7.89390698237979,0.403569156307405,0.686544401862745,20.241707214356,9.0401243506766,2.23909610411952,0.0251873099190726,2.07954294326526,6.72471947253003,0.309238616088008,0.757151094670045,8.55489738365529,9.67775967757289,0.883974976510348,0.376746248016883,-15.5696757274756,8.27850298542452,-1.8807356541259,0.060057792682045,23.7055989458405,5.76876364201915,4.10930320895297,4.02308743490929e-05,-17.2408142681461,6.10829105025154,-2.82252664883022,0.00478085934133535,14.1226873618505,10.0630552164953,1.40341944449442,0.160545166110927,6.95032329728691,5.77972184659329,1.20253594926607,0.229204884140164,1.58125837797565,6.02000421980572,0.262667320526675,0.792816307250096,6.46677193833043,6.50468879598481,0.994170842165764,0.320181045960451,-9.49809327120298,8.05900800990402,-1.17856853592035,0.238618225746373,8.74900875304823,7.24313062580492,1.20790431721311,0.227133166151787,-22.516160987277,8.36902820721124,-2.69041523457595,0.00715669867374692,-9.34868603893572,7.42983563803052,-1.25826283304079,0.208347210436598,-5.05168931135545,8.92800622303296,-0.565825021304625,0.571534556714992,11.7385069392901,6.03975515815532,1.94354019855257,0.051999081709754
"KR",-25.304836232762,10.2605158310448,-2.46623431506223,0.0136828218824251,-11.2534094340792,6.04928990347668,-1.86028601929155,0.0628954931794412,13.3679002929266,9.73075414049502,1.37377844511511,0.169563401737106,-5.98394775652545,9.12310369899229,-0.655911404052814,0.511907067181341,3.81366577013538,10.1287648425681,0.376518344478462,0.706545310386596,30.3436363111032,7.77405663615035,3.90319208249672,9.60049638060252e-05,0.306224982682014,12.7297440879075,0.0240558632261045,0.980808874147458,-46.274680321045,11.2113263429027,-4.12749383130203,3.71864095838926e-05,8.83092985662197,7.3229806479186,1.20592014115618,0.227897322337934,-2.98721512710061,6.56002725357451,-0.455366267796053,0.6488627516159,24.6195250502195,10.9197808792017,2.25458050143761,0.024196706897838,2.8770864538566,6.97209330031894,0.412657480318714,0.679872786854379,10.7359573455756,7.13380103937923,1.50494207594411,0.132393253069295,8.18616887855986,7.67396400773201,1.0667458005161,0.286130902307452,-2.06346928595667,9.16720871124331,-0.225092430090076,0.821915275137101,6.32897810774074,8.9008964915546,0.711049512118902,0.477082059023691,1.18140947296425,9.83012626144778,0.120182532913901,0.904342704018473,0.344502189731988,8.82080819814423,0.0390556264225841,0.968847378960359,12.9875173057205,11.5615801663331,1.12333410475669,0.261341974617984,-29.4679588554509,7.87845442625943,-3.74032230956774,0.000185551810567848
"FR",-40.1266141386457,13.2715940893525,-3.02349618806066,0.00250961532161868,-23.1634049075582,8.69947494617841,-2.66262102608085,0.00777480475664235,-2.35188347899016,13.7889289994254,-0.170563172751718,0.864573188283373,-2.34761257780959,11.450428173118,-0.2050239993052,0.83756054681816,96.104378711119,17.0968362159115,5.6211791174368,1.98471637686943e-08,-4.38808332479144,10.9084866119632,-0.402263254371059,0.687505072176647,-19.6246330836414,17.5566376109719,-1.11778995035913,0.263702868539792,-15.1972037246527,13.3272431315241,-1.14031113371867,0.254203640348109,8.16073796119336,9.14365901362029,0.89250243792307,0.372160598787513,-5.6905959385919,8.39482222703304,-0.67786973740397,0.497881245926122,21.491798086289,13.6334109848441,1.57640652879759,0.114986513540862,8.57489123616446,9.88163373873747,0.867760479985169,0.385561258826256,-0.971039816831372,10.0894256406387,-0.0962433196316121,0.923330641212432,23.5048228695001,11.4450635349352,2.05370837809273,0.040048522163286,-6.93406181927258,10.9393091895853,-0.633866517446466,0.526192857127922,8.31785955543159,11.4440652239773,0.726827346108116,0.467360971091799,0.29536661576829,14.1446161309356,0.0208819110419191,0.983340572456613,-28.9421556219681,13.3340776132647,-2.17054050991697,0.0300062360173203,-22.0449847960155,14.1038218428866,-1.56305042998924,0.118095121527325,5.44925600482758,10.235972789801,0.532363275746214,0.594494744699815
"DE",-41.0517068733104,17.0401129033255,-2.40912176499129,0.0160218343401958,-8.6597120228618,10.0177189873532,-0.864439503024016,0.387382138433123,-3.3094788112451,15.6968405515211,-0.210837257369248,0.833021648581284,23.1729936752495,16.7751631018389,1.38138708604921,0.167213021953153,-12.5303346111662,19.7093864156228,-0.63575467784395,0.52496133770764,-16.4440128004125,14.3734635620628,-1.14405360471464,0.252648473748082,9.49355324273829,19.5899774811135,0.48461276955989,0.627969297313813,-29.9158464635045,18.6123473370183,-1.60731185174073,0.10804023940016,2.16404047586259,11.6418277541372,0.18588494191503,0.852541471243895,-5.74271693202774,11.9605981731571,-0.480136264832974,0.631148553691773,72.2108991273094,22.7750134793727,3.17061938043244,0.00152903943270144,3.36943986368398,11.2160566708725,0.300412164681215,0.763873519407318,-9.33228558018258,12.1635433741568,-0.767234126858982,0.442973459047846,-9.87137440816474,14.881713748456,-0.663322422069091,0.507150359781185,-10.2639504010057,16.6290147499795,-0.617231420822353,0.537106248189895,20.242499004702,15.885169697144,1.27430171604282,0.202607404570364,14.2404994491025,19.7484152540885,0.72109580773345,0.470879544332015,-12.432555237896,15.4050817374177,-0.807042471426706,0.41967500461654,9.82560169409532,22.2092912693809,0.442409511177941,0.658209343287333,5.02193284898606,12.2870855606068,0.408716357041309,0.682762871447498
"year:US",0.0206662644788431,0.00370444791108376,5.57877043351302,2.53147675673808e-08,0.00370428127446546,0.00213406129716215,1.73578953865635,0.0826539979560337,0.00377718021780234,0.00342374412888325,1.10323087112073,0.269972547966201,0.000595080510893725,0.00317042614099493,0.187697326614579,0.851120471559943,-0.00818161557832222,0.00325331118416572,-2.51485797551221,0.0119347789931741,-0.00270289625584523,0.00252924769303166,-1.06865621081399,0.285268946357063,-0.0110604455374872,0.00418458434531245,-2.64314078168291,0.00823610572401447,0.0139146243847074,0.00355774245965941,3.91108253126324,9.29295607191068e-05,-0.00732054043786051,0.00267662876634078,-2.73498534048426,0.00625720593962546,0.00094384213744999,0.00222417273274978,0.424356491540611,0.671321536454034,-0.0109821508220307,0.0041216170929937,-2.66452476643189,0.0077309894208718,-0.00380819743460479,0.00256162335164871,-1.48663441569337,0.137165580365782,-0.00116381249825836,0.00251055756595677,-0.463567342187125,0.642975098090285,-0.0136769299079126,0.00265952714277842,-5.14261715472634,2.79803006404505e-07,0.00460956590629695,0.00322993784621356,1.42713764963023,0.153593887193828,-0.00385030667250593,0.00293986758718092,-1.30968710607747,0.190353420384721,-0.00027075640551846,0.00357722645936262,-0.075688919500697,0.939669194015773,0.0155972378377681,0.00324100152026501,4.81247470581032,1.52837676840681e-06,0.00193217472602776,0.00372020808970855,0.519372755350127,0.603520583283086,-0.0028556451652398,0.00263016564395575,-1.08572825890347,0.277644217808594
"year:JP",0.0130497021769451,0.00434458574211672,3.00367007386697,0.00267879676767069,0.00661125717590578,0.00242933212657885,2.72142993688402,0.00651936102172123,-0.00588797130016809,0.00385819581748847,-1.52609446972054,0.127040696097536,-0.00159333453795435,0.00391011061592803,-0.407490911245277,0.683662460623323,-0.0100166363276781,0.00447821249135474,-2.23674878023662,0.0253405025762269,-0.00103088964210776,0.00333096816764805,-0.309486488679254,0.756962571650611,-0.00425865244095358,0.00479354453873363,-0.888414075751687,0.374354784265984,0.00770616346094716,0.00410044836788692,1.87934654202667,0.0602471321637753,-0.0117467235675938,0.00285752829404374,-4.11079868993031,3.99719192502545e-05,0.0085660179165008,0.00302606106741956,2.83074852940935,0.00465985166577231,-0.00701736791263709,0.0049848653523116,-1.40773469626074,0.159263069677108,-0.00344524443048745,0.00286283546235472,-1.2034378069544,0.228855909472107,-0.00078572539604315,0.00298189937215029,-0.26349829353113,0.792175870135196,-0.00320585347945137,0.00322216080861317,-0.994939008283443,0.319807306481773,0.0047236101479111,0.00399220337929883,1.18320879452307,0.236774753602694,-0.00432313758611926,0.00358767507895062,-1.20499696627593,0.228253484119515,0.011168986655947,0.00414573713898323,2.69408944212181,0.00707838018343518,0.00462169720911977,0.00368026921417322,1.25580411110171,0.209237429611358,0.00249160160207012,0.00442228420598044,0.563419600825432,0.573170906515519,-0.00581378157789414,0.00299194996887384,-1.94314130863707,0.0520472573099643
"year:KR",0.012517859176572,0.005082054809101,2.46314918803214,0.0138010038903751,0.00556741568991224,0.00299608853764904,1.85822802629219,0.063187112883833,-0.00660980856305293,0.00482037479893185,-1.37122295231433,0.170358350591859,0.00294119434115589,0.00451909041152507,0.650837684870155,0.515176972972646,-0.00187885603661077,0.00501794132170404,-0.374427661894766,0.708099811829618,-0.0150305663417985,0.00385040928724527,-3.90362821728802,9.58324947899456e-05,-0.000101118724209741,0.00630560571877376,-0.0160363220790476,0.987205964454029,0.0229421027987663,0.00555306869117952,4.13142787792405,3.65574047017463e-05,-0.00437317989520868,0.00362758450535674,-1.20553494722203,0.228045882355575,0.0014719747350451,0.00324944311561545,0.452992922993916,0.650570729776368,-0.0122312669840776,0.00540903041822968,-2.26126792388806,0.0237794406527483,-0.00142986590007376,0.00345347648667885,-0.414036668727644,0.678862514959563,-0.00531484520851542,0.00353372122944313,-1.5040363581122,0.132626284942776,-0.0040598119823048,0.00380134456543305,-1.06799368287266,0.285567672488938,0.00101107340818696,0.00454088432749806,0.222660022864763,0.823807933450662,-0.00311934436036025,0.00440913246875137,-0.707473495629315,0.479300615134052,-0.00061619516205665,0.00486915233651682,-0.126550807916897,0.8993003064349,-0.000175799897296905,0.00436938197377269,-0.0402344996047833,0.96790755371401,-0.00642713658333029,0.00572737316018753,-1.12217877263647,0.261832745686075,0.014624900837911,0.00390256069400722,3.74751400032523,0.000180325845833927
