"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19","Estimate.20","Std..Error.20","t.value.20","Pr...t...20","Estimate.21","Std..Error.21","t.value.21","Pr...t...21","Estimate.22","Std..Error.22","t.value.22","Pr...t...22","Estimate.23","Std..Error.23","t.value.23","Pr...t...23","Estimate.24","Std..Error.24","t.value.24","Pr...t...24","Estimate.25","Std..Error.25","t.value.25","Pr...t...25","Estimate.26","Std..Error.26","t.value.26","Pr...t...26","Estimate.27","Std..Error.27","t.value.27","Pr...t...27","Estimate.28","Std..Error.28","t.value.28","Pr...t...28","Estimate.29","Std..Error.29","t.value.29","Pr...t...29"
"(Intercept)",-0.12630209060925,2.31641701216998,-0.0545247638683729,0.956518911041516,1.34171214596583,1.8421745596502,0.728330623684545,0.466439902094852,3.88293240016333,2.53688009304824,1.53059358650953,0.125923064761046,2.76433738350935,3.08914022763044,0.894856555485591,0.370899994548455,0.178786491901793,3.11603022355571,0.0573763664261829,0.954247316772793,3.23538276926588,2.1443266237061,1.50881061378331,0.131400318777255,-2.22939415129358,2.6359628157305,-0.845760849883517,0.397720202888486,-3.59223306411374,2.96487660128607,-1.21159614621247,0.225715157340391,2.89214239494941,2.72957828213897,1.05955649408342,0.289389453626345,-10.3333882306506,2.45084999786985,-4.21624670609456,2.52086592295338e-05,-1.1635065580219,2.28733165679276,-0.508674181361762,0.610999495411243,-2.49416022505969,2.47656668193036,-1.00710400541915,0.31392577762852,-4.63519247173489,3.23063048042502,-1.43476404987211,0.151406938298289,4.80326765507986,3.43139007105314,1.39980228292894,0.161624704678905,2.9824542467302,2.33857151171747,1.27533164232376,0.202241707563954,-0.25804799233757,2.95751294845595,-0.087251686411818,0.930474394211625,-0.128610672401641,3.10743208713876,-0.0413880879115405,0.96698789874011,2.27860160742592,3.00693751616417,0.757781495351005,0.448611832347924,-1.47994135523599,2.18748079027132,-0.676550560726262,0.498717472383085,-0.306278850159574,2.91213415639131,-0.105173331210507,0.916241819487015,0.164628767177808,1.21130059986003,0.135910745191434,0.89189644171093,-2.43122114891564,2.7278275740256,-0.891266431964304,0.372822315657828,1.90670016354937,2.6918636003926,0.708319754118032,0.478774478409886,2.1354153773435,2.73331700393753,0.781254195641155,0.434684108250519,1.82420497200551,1.63919373461111,1.11286721849159,0.265810449293205,-1.98700458817281,3.07416196632214,-0.646356506241608,0.518073447126536,-1.4331921241074,2.95532546441601,-0.484952382187323,0.627727988740848,1.74365644602143,2.18437357886872,0.798240952412758,0.42476255583452,1.06125522473213,2.45453915949593,0.432364348568827,0.665492304717102,0.465627559043077,1.54891365348017,0.300615568851681,0.763718168190964
"app_year",7.3397536656417e-05,0.00114917601462752,0.063869708140582,0.949076119372884,-0.000654016629984351,0.00091398117109926,-0.71556904087833,0.474285593248822,-0.0019157711086936,0.00125845949703469,-1.52231447512433,0.127983479728148,-0.00134754316859555,0.00153256690616901,-0.879271999918118,0.379289345811026,-6.70329028373062e-05,0.00154585202569584,-0.0433630785631843,0.965413565081074,-0.00159280262178832,0.00106371943628843,-1.4973897885574,0.134344943606224,0.00111969165032373,0.00130760153616393,0.856294229822135,0.391869558527878,0.00179945717668325,0.00147066584927069,1.22356630336905,0.221164362728267,-0.00142140462897482,0.00135398950275143,-1.04978999178827,0.293857342952551,0.0051439867450269,0.00121593740465121,4.23047002695214,2.36707554582171e-05,0.00058498531534089,0.00113475395448167,0.515517318120385,0.606210736914968,0.0012558194341613,0.00122880993934497,1.02198020536091,0.306831846530479,0.00233536248320782,0.00160253063506737,1.45729662329335,0.14508732654281,-0.00236441646211159,0.00170230087042916,-1.38895332968696,0.164898960256135,-0.00146353504252431,0.00116009110456231,-1.26156905847191,0.207153384436179,0.000143431112094307,0.0014671415402818,0.0977622868389084,0.922124349759311,8.43088899078993e-05,0.00154152308745952,0.0546919411027719,0.956385727278935,-0.00111214246012646,0.00149171167279436,-0.745547869879661,0.455970053794658,0.000748973297929607,0.00108514047634454,0.690208608246405,0.49008994937783,0.000174340759945629,0.00144474518921101,0.120672324260057,0.903954658087723,-7.12224075285617e-05,0.000600968409254758,-0.118512731171481,0.905665411472371,0.00123137353762521,0.00135321824458639,0.909959308154003,0.36288085416265,-0.000933779545802137,0.00133527466454832,-0.699316455703145,0.484381639798408,-0.00103969869475205,0.00135578628071887,-0.766860315329918,0.443195016601422,-0.000899980304597963,0.000813011055307301,-1.10697179174001,0.268350904871754,0.00101137846396676,0.00152505608562649,0.663174602887664,0.507244443331014,0.00073479712934974,0.00146591618738414,0.501254529879333,0.616210557919646,-0.000854248286683927,0.0010833697114564,-0.788510401989681,0.430429652036074,-0.000511937126864398,0.00121764045707252,-0.420433736322468,0.674183820337466,-0.000222905584948422,0.000768437466794975,-0.290076414256744,0.77176789428802
"US",-1.92427456811402,2.72250774953484,-0.706802237181068,0.479717080656065,0.48642076581842,2.16303997375362,0.224878306328437,0.822081673592079,14.1096962255337,2.98164256280608,4.73218902947736,2.2725201564325e-06,-4.6856440014855,3.46824055491061,-1.35101470826503,0.176742126283141,-2.54632036580576,3.46844190600078,-0.734139545886684,0.462892641369436,-4.72202255274549,2.32708444938948,-2.02915822585826,0.0424866366956468,-0.508019851854054,2.98345939968668,-0.170278788411669,0.864796685304913,2.97729288477888,3.24856561130196,0.916494613629073,0.359444700334352,2.17463611145727,3.1941463103042,0.680819192421453,0.496012414987735,9.92340511269112,2.87713054287429,3.44906321239686,0.000566439482754555,1.5552157275556,2.57982864594468,0.602836831818382,0.54664023268994,2.04258709114561,2.80161909513875,0.729073804033468,0.465985233366851,0.498729434158478,3.69984212677902,0.134797490560133,0.892776552468869,-0.276521177809577,3.88627154856286,-0.0711533340771914,0.943278114199179,-3.93845869822,2.65484112886925,-1.48350070947464,0.137994429907081,0.158906030007827,3.37856912273228,0.0470335293537869,0.962488084077609,-0.299061519656752,3.62806179526177,-0.0824301063579801,0.934307470674768,3.74642221948387,3.67511882390531,1.0194016571967,0.30805379436304,-0.699069985869895,2.43144650795376,-0.287511974284893,0.773730354128882,-1.15772710732211,3.26417765248877,-0.354676500661476,0.722844535897936,-1.41614851633824,1.39830153614904,-1.01276332731376,0.311214430310618,-0.152336929060222,3.10973549806468,-0.0489871016859884,0.960931220272163,2.59535589002884,3.20147420472973,0.810675246483186,0.417584637530954,-2.13192936388107,2.98981601266184,-0.713063731966239,0.475834303688701,-4.87944353999799,1.88845075820633,-2.58383413959522,0.00979451241814627,-3.60709845390335,3.54563871619871,-1.01733389739452,0.30903600839343,-1.91733548397304,3.29948199697769,-0.581101968651234,0.561193757189108,-2.22920850237374,2.50785719843072,-0.88888972775988,0.374098304666674,-4.38266802076469,2.89153091238417,-1.51569122155814,0.129650604899026,1.14064710782542,1.83616986150912,0.621210015334822,0.534485263692572
"JP",0.0562899111736412,3.45604980622539,0.0162873553130647,0.98700569165806,-1.29541201539023,3.21175278345069,-0.403334908609762,0.686716366953616,3.07970399261924,4.13585694438032,0.744635037922153,0.456521808754341,-8.81718851270729,4.45979868280427,-1.97703733729145,0.0480835317895148,-18.1046063686139,5.43289417207505,-3.33240549055257,0.000866244489138194,-4.15717246771721,3.31123340686197,-1.2554755152875,0.209355526025882,-0.922201595174002,3.97498746830885,-0.232001132714602,0.816545117945492,-1.27469502132818,4.55093833589835,-0.280094988603389,0.779414372933362,-1.55903487183572,4.17859401025997,-0.373100346194849,0.709087060803046,11.503813982998,4.04909275165374,2.84108433384234,0.00451133295708852,1.0230981481368,3.58034992483674,0.285753674812511,0.775076745296961,3.78526332034921,3.73915697049627,1.01233068047604,0.311421161768674,-1.36433065947392,5.36157192277917,-0.254464675495152,0.799145390500751,2.60296802975847,5.09332633837455,0.51105463440404,0.60933177549252,-0.868524771950327,3.47079426926725,-0.250238044830496,0.802411910699251,7.30940461927676,4.49846484407816,1.62486645391904,0.104244017791961,17.7311231448959,5.24198915806289,3.38251808812367,0.000722881553869448,-0.583562413581404,4.70701733152468,-0.123977111720636,0.901337588013928,-6.87157833793902,3.53185951044444,-1.94559786922961,0.051750125049846,7.26100998482367,4.7205565829329,1.53816819208899,0.124060706036327,0.665213985251205,1.82314658107743,0.364871366984701,0.715220405252613,1.35864856027647,4.49045364244614,0.302563764924283,0.762232915607407,4.30029674885501,4.40431470091378,0.976382715786138,0.32891456446682,-8.22664482780704,3.73522832452069,-2.20244764524875,0.0276719436591562,0.0701792856554857,2.67023756798251,0.0262820381590652,0.979033263408031,-12.3127481011228,5.16363345817503,-2.38451241763284,0.0171329360983737,1.26702984544521,4.72630291779552,0.268080541489326,0.788646622659916,-1.54243756516713,3.52335093278024,-0.437775740933646,0.661564759283268,-1.30575664535805,3.9498334923977,-0.330585238054024,0.740969445903313,7.28280199351026,2.64765496318671,2.75066128131163,0.00596550825351436
"KR",-0.222665216437561,5.01847077916695,-0.0443691367820464,0.964611652579649,-0.470475517228721,4.41074040440281,-0.10666588238997,0.915057648491859,-0.565726993898931,6.13279501281297,-0.0922461932474481,0.926505545180697,-3.35605483343305,6.07855994396238,-0.552113471672925,0.580891363287104,4.07448816939362,6.15874898535396,0.661577242242395,0.508267832140029,-2.40646421299617,4.67749120171927,-0.514477549869391,0.60693727374566,3.78374172846909,5.38882729229795,0.702145666066724,0.482615809647767,4.93277979938205,6.36517857911392,0.774963300412026,0.438392162314792,3.68983095102417,8.43645483707757,0.437367475116165,0.661860752357816,11.4578422014978,4.90766303058099,2.33468396874456,0.0195930490837036,0.710794377349635,6.03629446882997,0.117753429859993,0.906267007629198,-7.0086920372886,5.65677974818082,-1.23898973431705,0.215398205106374,7.14079825276301,7.05959258997851,1.01150288231927,0.311816960627851,22.4631417006831,8.06447229661075,2.78544471039025,0.00536236074894136,-6.06323738004577,4.93599438078447,-1.22837201834135,0.219355964825785,2.79411438980899,6.55287615046817,0.42639511653358,0.669835394914088,-9.36826844760741,7.11467736920538,-1.3167523924776,0.187972383016405,-1.35058913587062,7.03880545728351,-0.191877605378775,0.847844631861797,0.732663783281546,4.2864039171492,0.170927378157313,0.864286684730939,-2.65136330947892,7.51391382895503,-0.352860489198296,0.724205540540946,-0.0340811560091178,2.62496655701994,-0.0129834629389752,0.989641421998333,-2.78628688338978,6.25138171189219,-0.445707367075242,0.655824869773039,-3.40820396733742,6.05519297560627,-0.562856374861641,0.573553909668964,-4.435941759516,5.9014003163367,-0.751676131381241,0.452275598463788,-0.822613523095978,3.73076910515474,-0.220494353820875,0.825493739309785,-0.468180905795914,6.40103838608705,-0.073141399497545,0.941696057995159,4.53203823620039,6.25954774700277,0.724020076110202,0.469081894179957,-13.5950088746077,6.11311965294172,-2.22390688329903,0.0261921299371116,-3.02309261865239,5.23531340068367,-0.577442530614806,0.563662413930903,-4.36307909885306,3.94285293742657,-1.10657921258934,0.268520665411918
"FR",-0.494412516256087,4.81195217884747,-0.102746764281956,0.918167422325772,6.76729630798857,4.52331694019158,1.49609156233522,0.134682869675657,2.53192908080067,6.08284632136678,0.416240843025565,0.677248798809479,-6.39221956514223,5.73569693123809,-1.11446257390772,0.265125836041507,-2.46233903714296,5.8290336875726,-0.422426626628119,0.672728920353257,-2.89195410358093,3.93940246227778,-0.734109838046045,0.462910744320555,-0.729527671919555,5.21198527231713,-0.139971169104095,0.888687510679096,2.11358988723642,5.59809339809511,0.377555309805231,0.705774444557114,12.7846048415341,7.568298957063,1.68923095058276,0.0912276082362718,6.23382769471651,5.54828354600237,1.12355968166192,0.26124522865006,-3.29359816099559,5.40077244890714,-0.609838350375613,0.541992197900855,3.03188846967095,5.71350759389721,0.53065274174299,0.595679257975738,2.33016171731975,6.59159231914292,0.353505132675245,0.723722314219527,0.9517790214148,6.7808187000515,0.140363437442675,0.888377598902155,-6.33298554807476,4.90286413156362,-1.29169101531987,0.19651437592593,3.14404541878641,5.51389623233593,0.570203951309119,0.568560920669029,-1.32151949668236,6.30597190121476,-0.209566347168117,0.834013326973266,3.38739157625452,5.92797214700251,0.571425015545555,0.56773317402603,-0.0545237828853556,4.24796516091,-0.0128352707284623,0.989759647450401,-3.95704114098066,8.33017668154418,-0.475024875492454,0.634786690282691,0.953418446763231,2.59906641285848,0.366831121377407,0.713758045279137,-2.04628853967428,5.29300877311406,-0.386602143957976,0.699064604511829,0.847345244633708,5.74601523187753,0.147466585179385,0.882768752402317,-2.65783040171529,4.93231866697956,-0.53886023616209,0.590003469856406,0.812222468880082,4.01770207795971,0.202160949995712,0.839797816331068,-6.35455085036002,6.40806603835711,-0.991648777076147,0.32140923810083,-7.00342652880351,6.26063767840431,-1.11864428011246,0.263337114993221,0.216755983837759,4.69864983617378,0.0461315465921735,0.963206951413228,-2.449730833588,5.93424300738488,-0.412812692459582,0.679758735903094,2.63357785056428,3.54704132031595,0.742471714518878,0.457830912471218
"DE",-0.210555577646008,4.87535419265389,-0.0431877499204612,0.965553320268981,4.11132543368989,4.15201212245995,0.990200729773894,0.322116308247253,-0.236362893875867,5.15588550157279,-0.0458433170798236,0.963436672539752,-1.57146188984698,5.99547319287275,-0.262108067085528,0.793247207055709,-24.4787425739678,7.56493600494614,-3.23581621284872,0.00121959617604721,-3.43104202281117,4.66126217994937,-0.736075743083054,0.461713640232953,-1.70133605534811,5.91420809483604,-0.287669291994244,0.773609923591324,1.41290650384006,5.96937820311962,0.236692408449119,0.81290357820836,2.59154509697092,5.42839649001362,0.477405270919039,0.633091108809725,9.02907498303996,4.88416253270099,1.84864343121006,0.0645589303536168,2.52947637973831,4.76135388513795,0.531251497107533,0.595264355182636,1.62482332409607,5.79276239394914,0.28049196801051,0.779109845115022,-0.799366253129251,7.85972463413547,-0.10170410419438,0.918994973681562,-0.952080756800576,6.6628552740103,-0.142893807181186,0.886378891302656,3.56313078115615,4.43037144460412,0.804251026287151,0.421284168134323,1.64274603993647,5.47234181915711,0.300190685126006,0.764042203949295,-2.11146604024133,6.14751288587298,-0.343466712382741,0.731259522528239,6.23968831474218,6.73514753214648,0.92643676845392,0.354256643781746,-5.57600741580884,5.03860361734935,-1.10665728826317,0.268486897762112,3.1199751351755,6.5491476706668,0.476394073254703,0.633811160991864,0.132714653658601,2.85026800394708,0.046562166601462,0.962863749668667,-4.3539023964558,6.45110936728802,-0.674907546682337,0.499760746984417,3.81068385501515,5.42215801753631,0.702798377083564,0.482208922303813,-1.35893323946263,4.98987176641484,-0.272338309094265,0.785371358890076,-1.76891502646798,3.25477520607337,-0.543483010183686,0.586817659926425,-0.255560807511211,6.11576926287524,-0.0417871892359561,0.966669750634567,1.50485635408388,5.93872329122681,0.25339728427943,0.799969986586561,0.177476944280765,4.71517195454622,0.0376395486721639,0.969976338534858,2.47717086868667,5.43752176579667,0.455569830408528,0.648715977558366,4.72613440119735,3.96680405574827,1.19142118813475,0.233535833052495
"app_year:US",0.000967951347872344,0.00135070528833726,0.716626607025365,0.473632668470599,-0.000242904201210723,0.00107307554472946,-0.226362628804445,0.82092717230012,-0.00698411660255159,0.00147897325525591,-4.72227376508111,2.38576466730693e-06,0.00231279489163485,0.00172074399539158,1.34406680937367,0.178978063392152,0.00125157888851862,0.0017206917189099,0.727369623950725,0.467028195062455,0.00234277584049084,0.00115437034179268,2.02948374163236,0.0424534923460504,0.000251977425007696,0.00147993131916612,0.170262918112764,0.864809165181661,-0.0014743126770683,0.00161128236381427,-0.914993368125912,0.360232215390395,-0.00107122520513501,0.00158451785742152,-0.676057514983274,0.499030422970663,-0.0049288720171302,0.00142743132943594,-3.4529661185718,0.000558323346474712,-0.000761585251756876,0.00127977658918166,-0.595092345175548,0.551804391079112,-0.00101763078135537,0.00139000050587233,-0.732108209354018,0.464131378144775,-0.000262804241251738,0.00183538229549061,-0.143187739087071,0.886146764753766,0.000140477590517807,0.00192805187219119,0.0728598605379621,0.941920086308793,0.00195742456085129,0.00131696327240595,1.48631674236085,0.137248379312963,-7.73499308722782e-05,0.00167603929450489,-0.0461504280513469,0.96319190285222,0.000146947361140018,0.00179997524516946,0.0816385456046555,0.934936896383754,-0.00185949120561851,0.00182315396272351,-1.01993097875328,0.307802691911087,0.000343318707271896,0.0012061272288055,0.284645515889651,0.775925649103915,0.000573158674698411,0.00161938166200926,0.353936745206352,0.723398837952449,0.000702215291667856,0.000693789870165816,1.0121440537897,0.311510365478902,7.11658788033627e-05,0.00154274342231548,0.0461294326548163,0.963208636226377,-0.00128172755959514,0.00158789579668148,-0.807186190853209,0.41959150705875,0.00105144824539764,0.00148310302740039,0.708951587295079,0.478382315196971,0.00242283926947862,0.00093675513671186,2.58641684953351,0.00972149920179107,0.00178337424484652,0.00175903654262268,1.01383581388682,0.310702354996275,0.000950849625629483,0.00163662942791139,0.58098040363537,0.561275680846392,0.00110645699586723,0.00124386912174462,0.88952846929373,0.373755116161334,0.00218053735686521,0.00143439314611316,1.52018110430457,0.128518635857932,-0.000563465366950554,0.000911030436710269,-0.618492362324608,0.536274522047972
"app_year:JP",-3.33143036358294e-05,0.00171488247794862,-0.0194265811588912,0.984501457524031,0.000646419827850362,0.00159371233830063,0.405606339560398,0.68504646392872,-0.0015296346266548,0.00205184762844973,-0.745491334466448,0.456004215330916,0.00437250460725354,0.0022127368396187,1.97606173900327,0.0481939369216213,0.00899380703084838,0.00269637224856927,3.33552128628404,0.000856613277969332,0.00206096051022555,0.00164285961654051,1.2544958129566,0.209711156697453,0.000468289098930786,0.00197235775000262,0.237426044504433,0.812334466625657,0.000625741418930343,0.00225817573200983,0.277100408998469,0.781712640256635,0.000767314560755864,0.00207321209577915,0.370109050742101,0.711314420741838,-0.00571540270006623,0.00200915699585991,-2.84467700226684,0.0044608366439113,-0.000508353365379921,0.00177649739359137,-0.286154861365843,0.774769483046506,-0.0018803884518162,0.00185541230766833,-1.01346123664516,0.310881139458659,0.000663486986704675,0.00266048013890466,0.249386182968401,0.803070686209164,-0.00128982097927008,0.00252710549073858,-0.510394593338922,0.609793990308749,0.000422786702613244,0.00172185939370257,0.245540782342344,0.806046208953438,-0.00362051954266771,0.00223209041851354,-1.62203086068475,0.104849758015966,-0.00878333622074033,0.00260069238973069,-3.3773068492925,0.000736691200719083,0.000285491736811786,0.00233564919927708,0.122232284240351,0.902719189764478,0.00341951182610044,0.00175242951156907,1.95129778603119,0.0510685275065701,-0.00360061551149353,0.00234183164093156,-1.53752107903933,0.124218966288,-0.000334022816851425,0.000904624141660399,-0.369239335397727,0.71196248660506,-0.000685429152438726,0.00222815441798089,-0.30762192553057,0.758380808685597,-0.00213403525235716,0.00218503031939866,-0.976661620395487,0.328776434269539,0.00407915827018294,0.00185338669989494,2.20092130283128,0.0277798937771539,-3.61300471431101e-05,0.00132455776610107,-0.0272770641400273,0.978239665613477,0.00611440510717745,0.0025622746258568,2.38631918900295,0.0170490682819223,-0.000624759218102883,0.00234503773628936,-0.266417554154785,0.789926885321523,0.000772214519799777,0.00174794682936854,0.441783758421729,0.658661758413224,0.000648147531429391,0.00195989160443424,0.33070580534299,0.740878369141049,-0.00360953777977063,0.00131360397651592,-2.74781276876479,0.00601751293116391
"app_year:KR",0.000102992250863307,0.00248963436999784,0.0413684242571717,0.967003573979433,0.000234112536678092,0.00218774076715317,0.107011095735412,0.914783787395534,0.000288852020708492,0.00304231811322828,0.094944713195026,0.924361940228674,0.00164900663223962,0.00301551091301504,0.546841540225392,0.584508122093806,-0.0020324988770781,0.00305502340478801,-0.665297317818466,0.505886150318773,0.00119454922913571,0.0023203074601448,0.514823681625867,0.606695371391489,-0.00188280441436531,0.00267326118586726,-0.704309935863783,0.481267362646758,-0.00245428657852091,0.0031572314317581,-0.777354030443769,0.436980851758773,-0.00181932967049355,0.00418451366628388,-0.434776849972445,0.663740188213899,-0.0056993825124812,0.00243447954801821,-2.34110921865036,0.0192594030204458,-0.000343818172684006,0.00299435823736528,-0.1148219903663,0.90859009554985,0.00347586520276957,0.00280668800892344,1.23842236533543,0.215608382117418,-0.00355725849782888,0.00350153451159251,-1.01591416164881,0.309711599782782,-0.0111030278640399,0.00400019172111088,-2.77562392958419,0.00552681382467061,0.00300059983676504,0.00244868644835592,1.22539161303387,0.220476241048844,-0.00137747644668244,0.00325051595284088,-0.423771630924794,0.671747698204818,0.00465228990641501,0.00352997632637032,1.31793799059233,0.187575178690561,0.000668661432516704,0.00349171049383363,0.191499677220537,0.848140672109147,-0.000366759362419054,0.00212645230498655,-0.172474765391634,0.863070168424884,0.00133024888219435,0.00372752014803603,0.356872351956363,0.721200032355822,1.10227448630403e-05,0.00130218349162229,0.00846481692784164,0.993246417893665,0.00136924943445704,0.00310136635935952,0.441498770477349,0.658868005556331,0.00169842288843604,0.0030038428520294,0.565416691918017,0.571811707373032,0.00220024545580855,0.00292785058631231,0.751488298649764,0.452388582489816,0.000406677543862655,0.00185064909022631,0.219748598483856,0.826074496906431,0.000217242317307905,0.00317542294909529,0.0684136635624554,0.945458645748914,-0.00225044909202933,0.00310539061553204,-0.724691148602497,0.468670041509635,0.00675650833295279,0.00303332030538328,2.22742989619722,0.025955841002882,0.00150119556041798,0.00259703321582408,0.578042495286925,0.563257319267259,0.00217293660449127,0.00195606489319047,1.11087142970348,0.266668613000143
