"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",0.652975389424306,3.56362775768722,0.183233332386008,0.854621189058235,-2.75470837080339,4.17725577518693,-0.659454081592627,0.509629762661797,-1.7834396991771,3.65044428791568,-0.488554148074783,0.62517539880225,12.3598140406342,5.38643484812434,2.29461868362487,0.021789665862428,0.869726424242045,4.45153536466488,0.195376730272819,0.845104707857048,2.59029634366777,4.76022137394281,0.54415459706284,0.586355496141597,-4.0994996450339,4.24548026540062,-0.965615051480414,0.334276111738824,-9.08586726827255,3.50721732740615,-2.59061997592041,0.00960371383831963,-6.32248319625308,3.94977408399341,-1.60072020875198,0.10949202758455,2.29361113704454,4.67653313204318,0.490451168052019,0.623832773941456,0.851831842188742,4.3890255351491,0.194082225169785,0.846118129210003,2.53839964487952,3.98984449562776,0.636215182737372,0.524660666777742,-0.862828147740366,6.03558670149954,-0.142956797808239,0.886329144956379,7.07618023207446,5.20855109644671,1.35856980205145,0.174334486633915,5.54438691459576,3.73533457602184,1.48430797877832,0.137780241381286,2.8906556982514,4.63143696382871,0.624137977225486,0.532560919502852,-3.29182658957514,4.31315619575841,-0.763205977286967,0.445370843268093,-1.96953096472908,5.10286046360175,-0.385966063304605,0.699535611363554,-5.63241962326384,4.1682782082522,-1.35125808352067,0.176664183660835,-0.655033064635723,2.78833363490185,-0.23491918486246,0.814279548118247
"year",-0.0003103227093594,0.00176483501178228,-0.175836668746734,0.860428248716407,0.00139025098538901,0.00206866558673485,0.672052067914643,0.501576660988636,0.000896001698071359,0.00180797794735206,0.495582205183216,0.620207525219567,-0.00609186342699314,0.00266730260634554,-2.28390412565134,0.0224122633510171,-0.000408771457641631,0.00220459653916847,-0.185417807920451,0.852907666180839,-0.00124886707010026,0.00235734747198086,-0.529776405448978,0.596286745980719,0.00204590620701535,0.00210257277842228,0.97304893700305,0.330568562819446,0.0045231734587054,0.00173706351756234,2.6039194381636,0.00923935918684915,0.0031480322239797,0.0019560582862939,1.60937547006546,0.107587351435061,-0.00110541751711239,0.00231610601348091,-0.477274144913186,0.633184461226957,-0.000393363858505041,0.00217356758338157,-0.180976134127404,0.856392476983421,-0.00123094816904231,0.00197582266092705,-0.623005390810101,0.533304873027981,0.000458953723795988,0.00298908696441795,0.153543115091453,0.877975202925506,-0.00345670374419399,0.00257966500539116,-1.33998163985243,0.180302518061076,-0.00272727460484636,0.00184983102114411,-1.47433715494702,0.140443777019233,-0.00140925171913817,0.0022937006848436,-0.614400879962358,0.538973962223657,0.00166008155839252,0.00213599375818803,0.777194011934182,0.437075233080259,0.00101097773061029,0.00252680551836392,0.400101125022431,0.689096408443329,0.00280934461473885,0.00206433160354583,1.36089793418525,0.173597523027439,0.000336062862131554,0.00138089946820366,0.243365190493354,0.807730902461128
"US",4.21762500272869,4.07551685703341,1.03486874197319,0.300772300206134,3.48563209402829,5.06881965202561,0.687661493861861,0.49169279629842,5.72914106809608,4.38243074939545,1.3072975697075,0.191162218381129,-12.4556314652985,5.96593630689217,-2.08779155937502,0.0368590983532581,0.0571020112816481,5.04386314137561,0.0113210865721616,0.990967652568697,-0.807762113385642,5.5104267502622,-0.146587941369007,0.883462241735675,3.08941305239486,5.53546399523966,0.55811275352015,0.576788405473911,6.2155804967847,3.94680905495093,1.574836889813,0.115347300428875,2.75769599679151,4.74880451187961,0.580713733297056,0.561455412435313,-1.88420132858674,5.34950530541952,-0.35221973266909,0.724685962152598,-0.0643895754106548,4.77537370795631,-0.0134836725560084,0.989242364202501,-2.44325014641248,4.58996450503879,-0.532302623196829,0.594536304935918,1.22859032966669,7.08110513269342,0.173502625175595,0.862262270616084,-4.26074482246752,6.03122874199363,-0.7064472273786,0.479937740255768,-7.63786595786121,4.61967043663141,-1.6533356789474,0.0983153555368399,-0.288530838728864,5.4194948714604,-0.0532394338535674,0.957542924997892,3.74363082805859,4.99839159466191,0.748967094146174,0.45390666562651,-3.12936136474142,5.87431651415309,-0.532719229071467,0.594247860399294,2.39283185196,4.84675241270138,0.493697975099647,0.62153773055512,-0.133351778965948,3.02191065614322,-0.0441282996553382,0.96480361667345
"JP",-1.43670392167732,5.517252864012,-0.260402043750554,0.794562683573375,5.11408034290161,6.75314520023575,0.757288669392608,0.448906945419148,3.15607827102578,5.5899102217129,0.564602676223066,0.57236534241457,-21.8631965878266,8.61301680858315,-2.53839009881406,0.0111616709268311,-8.87059186863277,6.02209368089814,-1.47300795017021,0.140801823598143,-3.36968278019868,7.13838051833707,-0.472051436812963,0.636907397168194,2.36216937063794,6.20639643652256,0.380602398637857,0.703511897216554,4.22372395194784,5.3748456874656,0.785831668023098,0.431997424330865,2.62529204283575,6.12850823448938,0.428373748127057,0.66839455059117,7.14788832066221,7.82980996849522,0.912906998946735,0.361328468960584,2.64656506506331,6.44885846030214,0.410392797633105,0.681532615533525,-6.70811509106697,6.00569942457817,-1.11695817869509,0.264057338579794,1.38405124608283,9.37457291830555,0.147638858659921,0.88263279221473,-7.58599808441057,8.02893875500446,-0.944831977910181,0.344783054089811,-3.30035746926011,5.33027111852399,-0.619172532854954,0.535826426134464,3.11815802483216,7.50999061692344,0.415201320998394,0.678009512893553,10.7278149985421,6.75295534278428,1.58861038671091,0.11220154950399,4.33925121012215,7.64645938327715,0.56748502707176,0.570406121017154,6.59801057923388,6.45778120893339,1.02171479115869,0.306957475153689,-0.4047297522532,4.09524775133046,-0.0988291250808239,0.921277274654035
"DE",-2.44786699136488,7.29907815819752,-0.335366595385159,0.73736039462145,-5.57770849410499,9.59262451958071,-0.581458023580474,0.560953842167434,-3.41629813496787,7.59820435152275,-0.449619143802471,0.653001470962971,-10.5649505603085,11.813757859961,-0.894292119877887,0.371201811562116,-2.35025421404794,8.30638824190172,-0.282945384396078,0.777228553157174,6.73199858214628,10.2954221709647,0.653882713147205,0.513212658755674,6.94565846478747,8.7694652950264,0.792027590180065,0.428376184981516,8.63763124498811,7.56706378122436,1.1414772618172,0.253717336922555,9.66871351298863,7.8938572811181,1.22484017238517,0.22068396599965,0.375504379986434,9.60118160201291,0.0391102257567661,0.968803821243015,1.35341783971062,9.19801007665301,0.147142461079266,0.883024564184803,-5.49024611305133,8.43078271644823,-0.651214281959848,0.514933338147332,-11.5541252795346,11.4050863737228,-1.01306775774669,0.311069018725763,0.316263329849137,11.5379117879147,0.0274107945755318,0.978133008537334,-1.08635179602662,7.50596689909912,-0.144731759496169,0.884927567997417,-11.7805726398513,11.0651989107435,-1.06465077897635,0.287077223173588,7.80115969454158,8.93497123773745,0.873104063457178,0.382641616928392,-0.938393810063422,10.099666651088,-0.0929133448144387,0.925975534257364,9.17367048336673,8.36434279991483,1.09675926762114,0.272791056017673,3.57138386178034,6.33033650940806,0.564169670359956,0.572659945645287
"FR",1.29295249442512,7.27081787684669,0.177827655199895,0.858864385363292,7.8955076365193,10.1738397108794,0.776059763166529,0.437744566505871,3.30727819579015,7.75218698416678,0.42662518364753,0.669667796905308,-20.2769757774377,9.5017021494905,-2.1340361398852,0.0328806188692288,-4.03972959460498,8.31727708773992,-0.485703380083338,0.627195383568651,-7.16627103593659,8.90657996505035,-0.804604131334049,0.42108032647262,7.64879697770585,9.24479825173058,0.827362238680983,0.408064979241316,5.22670788131553,7.94296608877973,0.658029736359922,0.510544498235011,16.0657730962273,8.6474213706316,1.85786865328316,0.0632370641008369,-7.02805243525443,9.93454421962242,-0.707435819891246,0.479323409098185,-4.84751101390213,8.61201825173186,-0.562877466374076,0.573539547389302,-7.53884637026886,8.07489235232711,-0.933615711681436,0.350540067750318,9.2258947346537,12.4665142752916,0.740054078543775,0.459296399800456,-14.1523594098398,10.0805120598224,-1.40393259051258,0.160391149817957,-4.39238790365343,7.15407771994852,-0.613969833093319,0.53925875045704,12.6151467405618,10.5018509535542,1.20123079220548,0.229709533808682,4.00517471365077,10.0123817150632,0.400022175305717,0.689154553491036,-1.69949839497292,11.2664645480689,-0.150845758908833,0.880102505774427,5.32654656730802,9.25732109662677,0.575387470274628,0.565051048960166,-1.25440345998959,5.51256194367305,-0.227553626209917,0.820001098692463
"KR",-0.167852197268258,6.93301068780097,-0.0242105781783379,0.980685452854107,4.27385194973305,9.33696689012211,0.457734508435979,0.647159917889995,-4.35507238202591,8.13989385535679,-0.535028153857299,0.592650396532585,-1.5876146654406,9.83555229251907,-0.161415914248978,0.871771317367388,5.18487581146885,8.23310149933482,0.62975973415216,0.528875991274644,3.52402918244427,8.72698385227232,0.40380837665085,0.686368157772588,3.15826861127559,8.67686551857206,0.363987272191276,0.715880455571351,8.36288354314088,6.9252023808637,1.20760132097365,0.227248682588924,16.989235650258,8.46215071097742,2.00767348993429,0.0447231591288338,-20.5543894926708,9.72350681032256,-2.113886470553,0.0345664927170538,3.93894683442378,8.19385790555197,0.480719446178685,0.630733594992891,2.92178689005588,7.54472507684277,0.387262207740849,0.698575961025648,-5.23693703178963,12.2846324114366,-0.426299856307805,0.669904794366836,1.15289548248405,10.2786582329239,0.112164005880765,0.91069715432279,-15.9039583347908,7.80119754848102,-2.03865601863748,0.0415285143843729,-11.5295832141353,11.0604754374056,-1.04241298481106,0.297262629136045,-3.08664067009532,9.36105975721039,-0.329731969472562,0.741614110335795,6.44022186758628,10.3403382115168,0.622825069726767,0.533423367661141,4.43991439281295,8.97600604926338,0.494642535716351,0.620870746400399,2.01599008563113,4.93534119634849,0.40848038776381,0.682935735854435
"year:US",-0.00207291806234145,0.00201836012710952,-1.02703082294341,0.304447727990197,-0.00172946891501388,0.00251032031305876,-0.688943520879441,0.490885691350566,-0.00281910953962306,0.00217049186734139,-1.29883441723104,0.194051125778682,0.00615620603575642,0.00295435530094338,2.08377307691821,0.0372234116549639,-2.74870838188552e-05,0.0024980086539901,-0.0110035983161827,0.991220945111721,0.000385681214620158,0.0027290304229931,0.141325362799421,0.887617701675295,-0.00151792030323974,0.00274163056127882,-0.553656033995957,0.579835087975715,-0.00308555915065526,0.00195468550722089,-1.57854505968186,0.114493638933308,-0.00135511365614687,0.0023519356034128,-0.576169540603289,0.564522398447779,0.000927425985447517,0.00264953290357863,0.350033767912402,0.726325753439083,2.69099416689272e-05,0.00236488179463786,0.0113789795878774,0.990921465542966,0.00120475125765311,0.00227327781089654,0.529962177028411,0.596157943068311,-0.000607007770441581,0.00350701390321497,-0.173083936132994,0.862591342865559,0.00208970494147614,0.00298713333910258,0.699568684839476,0.484224070788985,0.00379021629652928,0.0022879578022539,1.65659361933838,0.0976544248878277,0.000142292251628755,0.00268413280008024,0.0530123739125357,0.957723829489685,-0.00185349851640849,0.0024752466936678,-0.748813652049361,0.453999149801447,0.00154774069668918,0.00290901059800824,0.532050552771755,0.594710861477652,-0.0011767581696134,0.002400539535304,-0.490205702637751,0.624006432989906,6.68295132409282e-05,0.00149667192509051,0.0446520791367731,0.964386130285659
"year:JP",0.000706340817458822,0.00273277663490456,0.258470014869507,0.796053133659633,-0.00252888626958211,0.00334495954756154,-0.756028954498317,0.449661786044219,-0.00156288319638001,0.00276905130174893,-0.564411065765699,0.57249569911131,0.0108458011524949,0.00426609338578413,2.54232623895113,0.0110368820205318,0.00438985216801847,0.00298307546551648,1.47158602548408,0.141185622760699,0.00166471370298572,0.0035360336953423,0.470785588151636,0.637811126846434,-0.00117415368823284,0.00307437559558712,-0.381916149060705,0.70253720949588,-0.00210093051433731,0.00266266355897911,-0.789033412521265,0.430123937555346,-0.0013073239792945,0.00303559455851171,-0.430664884290559,0.666727665356597,-0.0035261473501125,0.00387882624668655,-0.909075871373378,0.363346923501775,-0.00130895596267725,0.00319419029546849,-0.409792730425058,0.681972761873293,0.00331932782410143,0.00297502152424452,1.11573237270757,0.26458179775645,-0.000680328982332348,0.00464346592607241,-0.146513185013891,0.883521248996937,0.00374224830795699,0.00397697297493314,0.94097906411343,0.346753814158559,0.0016281779461199,0.00264008322985312,0.616714627671218,0.537446582667083,-0.0015368484525716,0.00372007916776961,-0.413122512522503,0.679531753147623,-0.00531619976064052,0.00334490526449824,-1.58934239993729,0.112036276625791,-0.00213669450950255,0.00378737607015623,-0.564162224696744,0.57266501206417,-0.00326977061513938,0.00319860688023617,-1.02224835297608,0.306704958699486,0.000200047102965379,0.0020283078980561,0.0986275817182894,0.921437294316483
"year:DE",0.001207810689278,0.00361560077145566,0.33405532458489,0.738349592068541,0.00276313015051185,0.00475189544538645,0.58147957636453,0.560939321180263,0.00168934889007401,0.00376382636866622,0.448838156865525,0.653564767702734,0.0052796138293783,0.00585186293692644,0.902210780786214,0.36698145379145,0.00115817458574786,0.00411448277822195,0.281487284836408,0.778346474454875,-0.00332985875372299,0.00509923915865497,-0.653010900277388,0.513774498570577,-0.00343897260512732,0.00434396136177795,-0.791667401875733,0.428586214091399,-0.00428893710481666,0.00374840600879657,-1.1442029211221,0.252585550599994,-0.0047968023914889,0.00391008698051995,-1.22677639024057,0.219955220854528,-0.000193856222121655,0.00475581206442896,-0.0407619602068803,0.967487034047839,-0.000667191554684966,0.00455621131641668,-0.146435603695768,0.883582486763234,0.00271316537523365,0.00417633121110752,0.649652826389253,0.515941597100418,0.00572420022080899,0.00564944026010704,1.01323316244794,0.310990031758508,-0.000163481773482539,0.00571471612950418,-0.0286071555922976,0.977178865143798,0.00053237467994513,0.0037176639506766,0.143201399321808,0.886135977107753,0.00584515739549757,0.00548124296186648,1.06639268431684,0.28628946442785,-0.00386330003822391,0.00442562103741154,-0.872939640689046,0.382731228488026,0.000456892678988137,0.00500282352205595,0.0913269630587277,0.927235870474127,-0.00455192606345772,0.00414290223662689,-1.0987288146012,0.271930856632049,-0.00176295833253313,0.00313517279903947,-0.562316161033694,0.573921826745022
