"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8","Estimate.9","Std..Error.9","t.value.9","Pr...t...9","Estimate.10","Std..Error.10","t.value.10","Pr...t...10","Estimate.11","Std..Error.11","t.value.11","Pr...t...11","Estimate.12","Std..Error.12","t.value.12","Pr...t...12","Estimate.13","Std..Error.13","t.value.13","Pr...t...13","Estimate.14","Std..Error.14","t.value.14","Pr...t...14","Estimate.15","Std..Error.15","t.value.15","Pr...t...15","Estimate.16","Std..Error.16","t.value.16","Pr...t...16","Estimate.17","Std..Error.17","t.value.17","Pr...t...17","Estimate.18","Std..Error.18","t.value.18","Pr...t...18","Estimate.19","Std..Error.19","t.value.19","Pr...t...19"
"(Intercept)",0.0934868156488968,0.0128835563336275,7.25628958557708,4.49873619930446e-13,0.050561353542551,0.0075565853805565,6.69103186111654,2.42346557869929e-11,0.0242824845358751,0.00975009955040645,2.49048580584624,0.0127845408340183,0.0926092094592395,0.0120567258677579,7.68112425172535,1.83876665806955e-14,0.0508275984318595,0.0105308572275383,4.82653950515487,1.42474555913231e-06,0.0324755448296755,0.00861028004904656,3.77171760322379,0.000163736776307299,0.0473102908698043,0.0128991323008324,3.66771111160331,0.000246917355825748,0.0632878899180208,0.0114357876719933,5.53419595862341,3.2631777793085e-08,0.0153397997573336,0.00727983844129041,2.10716211369856,0.0351462179532825,0.0363235944697128,0.00791177233377406,4.59108186349768,4.50232193422687e-06,0.119930957251435,0.0129131901579555,9.28747705132714,2.1842190039613e-20,0.0196345274205931,0.00714381669446779,2.74846461777192,0.00600597410999929,0.0286548482951294,0.00752062793314648,3.8101669900243,0.00014030510956145,0.00871277692894409,0.0079769101015402,1.09224960768479,0.274768629452909,0.0453600153885923,0.009124866829531,4.97103313790759,6.85054040742702e-07,0.0196829927713875,0.00924492743221776,2.12905865575472,0.0332912874740279,0.0840851943686955,0.011563596337765,7.27154355034739,4.02281012644958e-13,0.060984086912708,0.00956933007136027,6.37286899479257,1.99772163340955e-10,0.0765825659240514,0.0117069529915914,6.54163094180506,6.60471867362984e-11,0.0296581706081992,0.00731685859844541,4.05340218198293,5.11365299046412e-05
"year",-0.0130161501285406,0.00349837092968714,-3.72063179981451,0.000200598381214809,-0.00504706634781113,0.00192151971293115,-2.6266013894347,0.00864683482247735,0.00115398533651843,0.00280468743235412,0.411448820715765,0.680758617363229,-0.00335244240190526,0.00338647976054735,-0.989949044125811,0.322240194066693,0.00523523227562541,0.00332407398949157,1.57494456867555,0.115323611621273,0.00271155667244169,0.00251008064049023,1.08026675665373,0.280068186852171,0.011288184467519,0.00360423285742695,3.13192429957968,0.00174526275580143,-0.00572157233385231,0.00317452927653574,-1.80233723977373,0.0715440987261635,0.00378316276667823,0.0021440828639307,1.76446667725456,0.0777059051697672,-0.000287325480004871,0.00215098318792518,-0.133578673054169,0.893740369449155,-0.00119383204110685,0.00347852739660299,-0.343200413563713,0.731460093690574,0.00234084067269932,0.00209991798120333,1.11472957213211,0.26501236933345,0.0019556735823849,0.00213501660114717,0.915999239225632,0.359705258647448,0.00590871891829257,0.00239861156227497,2.46339132655912,0.0137916957880371,-0.00154555561264103,0.00273365314478482,-0.565381023408033,0.57183643050392,-0.000269520787765222,0.00267101266123303,-0.100905844317788,0.919628680673981,0.000140504796936359,0.00317285492410198,0.0442833978537882,0.96468002500308,-0.00361364397109518,0.00282205462792155,-1.28050107015704,0.200420015079548,-0.00452374307916746,0.0032585029324611,-1.38828878565739,0.165102278225737,0.00415443379186868,0.00212451956464444,1.95546977349863,0.0505754488978083
"US",-0.0273086037740283,0.0137246170637464,-1.98975342242256,0.0466648385123111,-0.0128415428373518,0.00866263109242146,-1.48240675383097,0.138286258817299,0.0130183155499552,0.0114694906386931,1.13503868306383,0.256405869168702,-0.0498882283346887,0.0124213778586592,-4.01632000107868,5.98585149966201e-05,-0.0104108585663047,0.0120561610873034,-0.863530147856814,0.387881647781852,0.0288515290740733,0.0103870081838777,2.77765537133739,0.00549280553094076,0.0469772967835918,0.0142016128535679,3.30788462324472,0.000945743241302296,-0.0131178096342228,0.0126361102997524,-1.03812085547241,0.299256934908591,0.0465062670943183,0.00846351689884968,5.49491040782812,4.07511267046125e-08,-0.0146234185051575,0.00887166269482893,-1.64832895570761,0.0993391802863767,-0.070344193985828,0.0137785912404042,-5.10532555603737,3.40727423537944e-07,0.030110192644805,0.00832985355112258,3.61473253521332,0.000303200305832177,0.00872949910757859,0.00861829409153313,1.01290336751849,0.311148441069534,0.0868589122056378,0.00941939460899583,9.22128393715289,4.022239349678e-20,-0.0223052170996559,0.010129812995027,-2.20193769723154,0.0277088111522815,0.0345789358515153,0.0108077037991433,3.19947108971067,0.00138418986588434,-0.0464108688502429,0.0131344123084568,-3.53353220230193,0.000413230369850624,-0.0313961170961255,0.0110939355638175,-2.83002518948485,0.00467038523681026,0.0045057612107975,0.0132827576940679,0.339218806408687,0.734457145925366,-0.00155586592265564,0.00802268145342178,-0.193933403898523,0.846234798113688
"JP",-0.0272873245233507,0.0152267321201014,-1.79206702450144,0.0731741742069827,-0.019012836790919,0.00873804710606944,-2.17586796684956,0.0296052433108736,0.055202936057684,0.0127795794008512,4.319620726642,1.58897867246201e-05,-0.0285684997670619,0.014538114869481,-1.96507594165692,0.0494529568443382,0.0317630222954393,0.0131089380501042,2.42300498896529,0.0154230379420097,4.56546180132826e-05,0.0111591908907399,0.0040912122088679,0.996735834315994,-0.007616030625136,0.0167715053169619,-0.454105369864058,0.649769927862459,-0.0243671259496061,0.0138751042758047,-1.75617605931058,0.079110960603393,0.0231849610783629,0.00949028307966431,2.44302102305499,0.0145944220561714,0.0272462100828457,0.0107754531267847,2.52854425352373,0.0114798877839389,-0.0527577585321745,0.015719825326326,-3.35612880149636,0.000795482130243978,0.00893955613848124,0.00894107482748616,0.999830144693538,0.317434296033513,-0.000479819162344926,0.0095806880482725,-0.0500819106025943,0.960058834074103,0.0086419451104181,0.0100350270952966,0.861178054463703,0.389175474031477,0.0233631937464844,0.0126695596927754,1.84404149102411,0.0652279076573146,0.028548503936438,0.0121958576179929,2.34083611260922,0.0192742063756476,-0.00119389554422648,0.0159003673244924,-0.0750860354268318,0.940148840081359,-0.0328408683492275,0.0117368948397816,-2.79808831871911,0.00515751467745402,-0.033128643751357,0.0157398820205063,-2.10475807303995,0.0353551486357973,0.021007788368431,0.0102933779054535,2.0409032449203,0.0413054839216655
"KR",-0.0516927868592872,0.0183671278613066,-2.81441863146097,0.0049029698176419,-0.0296744963116468,0.0103550947043269,-2.86569047980289,0.00417593077987916,0.0385992721839013,0.0163331709516142,2.36324424070799,0.0181484257893575,-0.0555902146268665,0.0153615426870834,-3.6187911435229,0.000298495873981848,0.0084330841199374,0.01569071440353,0.537456989086498,0.590972542178781,0.0419284043168325,0.0139194881490712,3.01220877289444,0.00260469486704597,0.127212578618049,0.0209441454134047,6.0738968388097,1.32743614212004e-09,-0.0121717395074586,0.0195125336627118,-0.623790826852928,0.532789420145417,0.0154022969863877,0.0119474191404588,1.28917357006663,0.19738900305438,-0.0209377205258051,0.0115732492630054,-1.80914797996565,0.0704796104271162,-0.0703485515557675,0.0178883690052178,-3.93264201645481,8.49941125343558e-05,0.00169865667763057,0.0109164856031577,0.155604719264157,0.876350003062661,0.0223468261697971,0.0119812968008527,1.86514252515693,0.0622117315374015,0.00492473172029836,0.0121165030582238,0.406448271141715,0.684428207599656,-0.0270930963903686,0.0140336508407045,-1.93058076603882,0.0535834559469785,0.0363574852951942,0.0140326805344877,2.59091520011728,0.00959600339294504,-0.0643604731463559,0.0169553578628872,-3.79587819182699,0.00014861754437557,-0.0121362235878682,0.0137526933795994,-0.882461584279257,0.377563703480173,0.0279400198394762,0.0185812263734875,1.50366930997311,0.132720813068817,0.0203388441892039,0.0143903145333975,1.41337037088389,0.157600351483876
"FR",-0.06175040520766,0.0216628765247384,-2.85051734182867,0.00438017171112281,-0.0282073648817397,0.012482033783386,-2.2598372485808,0.0238681798180869,0.0340279156662724,0.0211154737797499,1.61151561273069,0.107121629912491,-0.0491391101627439,0.0182926787663872,-2.68627196652232,0.00724594823054659,0.225879635883781,0.0253527780443686,8.90946291915153,6.75156463061293e-19,0.024480055938346,0.0172505554291673,1.41908798466599,0.155926936340222,-0.0196758960853673,0.0247050415149634,-0.79643242345697,0.425813235212802,-0.0286835803525531,0.021948527895124,-1.30685668258076,0.191313041609779,0.009548464021928,0.0143966236996174,0.663243286839659,0.507201029185724,-0.0111468128633373,0.0142204738922548,-0.783856638519511,0.433156145373859,-0.0821162596147062,0.0228587195695045,-3.59233855444188,0.000330431104114322,0.0210659707384106,0.0151028598761961,1.3948332243758,0.163119385650651,-0.000915829000914528,0.0159740856058606,-0.0573321705862481,0.954282562891697,0.0506401934643607,0.0175265839687922,2.8893361966331,0.00387482465152249,-0.0386038927148952,0.0167777297330595,-2.3009008566176,0.0214324274058059,0.0086688766067587,0.0180651915440379,0.479866298988659,0.631340505240294,-0.0545630489602634,0.0200461567602628,-2.72187081108848,0.00651068160362832,-0.0274077670169761,0.0183350312516029,-1.49483066818226,0.135012874511333,0.0189040330721367,0.023188280540486,0.815240829915391,0.414967841855537,0.00894221737597928,0.0156166870053864,0.572606556876948,0.566933245529946
"CN",-0.0686235160025034,0.0316181614549905,-2.17038286999044,0.0300181722150098,-0.0207063281450743,0.0189908093960548,-1.09033415655132,0.275611129544996,-0.00495867291790761,0.0312785109436977,-0.15853289585407,0.874042403498306,0.0286454713710627,0.033377950904351,0.858215396539772,0.390808889369393,-0.0381792279853225,0.0291443380229694,-1.31000498124996,0.190245870460125,-0.00970457028198018,0.0237427557940187,-0.408738158542867,0.682746871228968,0.0495759071376396,0.0387038547201381,1.28090360756353,0.200278581654976,-0.0134690759040857,0.0338255987937734,-0.398191795101794,0.690503424391447,0.00228252489619584,0.0236768468890898,0.0964032460440335,0.923203634545298,-0.0228556033335852,0.0205314146082526,-1.1132015874054,0.265667851137738,0.0641744225386984,0.0413099549201797,1.55348565890953,0.120361544470291,0.0474646746860258,0.0267073096775505,1.77721662193191,0.0755848366581931,0.0274846182440154,0.0237427325897768,1.15760130558223,0.247074296911214,0.0302152563903035,0.0255469534768049,1.18273423160758,0.236962823364865,-0.0150093320512115,0.0301925317599532,-0.49712068436472,0.619122733856929,0.00687535197395629,0.0271046229273685,0.253659753628744,0.799767392296878,-0.0194307279198538,0.0316547198891181,-0.613833513230153,0.539349347893975,-0.0497620966245125,0.0258557382187808,-1.92460552483343,0.0543274369922108,-0.00263443660987918,0.0383546703900007,-0.0686862012654916,0.945241762460007,0.010742863819064,0.0269670074314768,0.398370632943294,0.690371620039063
"year:US",0.0178125757582466,0.0038775989541754,4.59371275079028,4.44610578007221e-06,0.00343601640059474,0.00214264329272987,1.60363435773625,0.108848953435323,0.00576714573871342,0.00327829475069452,1.75919073094072,0.0785976753424188,0.00204457506782936,0.0034990577856024,0.58432160687434,0.559026613377763,-0.00745132844006121,0.00367260150346957,-2.0288965282571,0.0425142773126749,-0.00486637787446656,0.00296162226741477,-1.6431460311495,0.100406759354234,-0.0174563441417226,0.00400091879595381,-4.36308383948619,1.30458945939553e-05,0.0108770089381053,0.00356240197492189,3.05327950486097,0.00227377900849004,-0.00665535954804111,0.00248308089410406,-2.68028301608856,0.00737672144934152,0.000285746084978203,0.00237798582827675,0.120163073127006,0.904358118290259,-0.00202093809092872,0.00379172087843503,-0.532987040903398,0.594062908100027,-0.00395551219481044,0.00242702815824581,-1.62977597988372,0.10320298651563,-0.00171076794961937,0.00240643168941687,-0.710914819291598,0.477165520254999,-0.0143314355016917,0.00271098633005045,-5.28642853814204,1.29275595747721e-07,0.005308256486965,0.00302259337173971,1.7561927239686,0.0791081157609955,-0.00229501290622162,0.00306210724713334,-0.749488088103428,0.4535933784991,-0.000512255457311407,0.00359603463989016,-0.142450089781964,0.886729432446468,0.0153849288139513,0.00325584140096204,4.72533115691856,2.35145380039082e-06,0.00431618604350529,0.00364656869669214,1.18362943427353,0.236608141900183,-0.00405954577323258,0.00232199694552044,-1.74829935976625,0.0804649463506467
"year:JP",0.00980934564529073,0.00444532586405412,2.20666514565586,0.0273763794919199,0.00589828490363414,0.00247637265081571,2.38182444055472,0.01725906637809,-0.0049240339506815,0.00400025335236169,-1.23093052288161,0.218398609516751,-0.000632139945767496,0.00431581989508845,-0.146470418398806,0.883555115401461,-0.00978769156789865,0.00399149092957808,-2.45213924836183,0.0142301446706683,-0.00202808293913842,0.00352498862226558,-0.575344534824321,0.565080557583936,-0.0108153719666541,0.00487951026356623,-2.21648718466874,0.0266966887057429,0.004249816715007,0.00412910939499563,1.02923325794121,0.30341286303014,-0.0109836304757166,0.00289486831782915,-3.79417274632832,0.000149640096848683,0.00850936211497153,0.00319733673956176,2.66139065356558,0.00780324053505184,0.00121357171782837,0.004728594998828,0.256645307565811,0.797461670403056,-0.00288741237121015,0.00278889506727734,-1.03532485143982,0.300560257839183,-0.000605538134720207,0.00296810743987794,-0.204014897366758,0.838348992928176,-0.00411347947086413,0.00314385454098587,-1.30841914510911,0.190782868076014,0.00458211144459977,0.00387038757687756,1.18388955978832,0.236505149971889,-0.00184544994999534,0.00368802571632842,-0.500389664265292,0.616819656427895,0.0110714353680106,0.00461853382089597,2.39717533688273,0.0165533625580021,0.00472154090061477,0.00359214114213861,1.31440851397163,0.188760581237747,0.0051287525664122,0.00452045980560409,1.13456435561135,0.256604636894747,-0.0067023312573094,0.00310716741795382,-2.15705507806951,0.0310421999475422
"year:KR",0.0090445318352819,0.0054437333632505,1.66145753874347,0.0966754673846898,0.00510520130188926,0.00287386307408462,1.77642468352998,0.0757151915178706,-0.00408080228182206,0.00504633116221877,-0.808667158504084,0.41873968934316,0.00457009636967909,0.00470376923096221,0.971581756093979,0.331299052524659,-0.0015639608494152,0.00516023537961836,-0.303079362540797,0.761840217317381,-0.0166710110224544,0.00410730850825089,-4.05886506673779,4.99583105961739e-05,-0.00554818683818194,0.00611953892154078,-0.906634782344845,0.364637508869133,0.0190646627038217,0.00596165929365511,3.19787860472199,0.00139184266677602,-0.00391495658958747,0.00374231179202461,-1.04613319444168,0.295543001194506,0.00111739383492068,0.00343357670224985,0.325431447093788,0.744866260769601,-0.00288295503341203,0.00544984581515308,-0.528997540700342,0.596827336649505,-0.00217811621941531,0.00353713661291543,-0.615785155558363,0.538060414289784,-0.00470431070177824,0.00361792453136931,-1.30027883693797,0.1935569245213,-0.00527505912642582,0.00385248167064131,-1.36926261495949,0.170970052537842,0.001376900953168,0.00448869648174545,0.306748509008698,0.759045781140367,-0.00104763626286799,0.00455416332547495,-0.230039238383865,0.818069366659612,-0.00102217709374495,0.0050221555377679,-0.203533539743626,0.83872515146708,-0.00012201536127092,0.00409649995570032,-0.0297852709850844,0.976239327231019,-0.00404008006398276,0.00545546007899093,-0.740557167587236,0.458991871552038,0.0124418745956395,0.00463461204195508,2.68455579086421,0.007283207832132
